chemcode	name	cas
pb3	AROCLOR 1016	12674-11-2
pb2	AROCLOR 1242	11104-29-3
pb1	AROCLOR 1254	11097-69-1
arc	AROCLOR 1260	11096-82-5
sat	"ARSENATE, SODIUM"	7631-89-2
aro	ARSENIOUS OXIDE	1327-53-3
soa	"ARSENITE, SODIUM"	7784-46-5
sas	"l-ASCORBATE, SODIUM"	134-03-2
asa	l-ASCORBIC ACID	50-81-7
apm	ASPARTAME	22839-47-0
apn	ASPIRIN	50-78-2
apc	"ASPIRIN, PHENACETIN, AND CAFFEINE"	8003-03-0
ast	ASTEMIZOLE	68844-77-9
atl	dl-ATENOLOL.HCl	51706-40-2
atz	ATRAZINE	1912-24-9
atr	ATROPINE	51-55-8
aur	AURAMINE-O	2465-27-2
arf	AURANOFIN	34031-32-8
azc	5-AZACYTIDINE	320-67-2
6az	6-AZACYTIDINE	3131-60-0
aza	AZASERINE	115-02-6
azt	AZATHIOPRINE	446-86-6
azn	AZELNIDIPINE	123524-52-7
saz	"AZIDE, SODIUM"	26628-22-8
gus	AZINPHOSMETHYL	86-50-0
azb	AZOBENZENE	103-33-3
axm	AZOXYMETHANE	25843-45-2
1ap	1-AZOXYPROPANE	17697-55-1
2ap	2-AZOXYPROPANE	---
adt	AZT	30516-87-1
bbs	"BARBITAL, SODIUM"	144-02-5
bba	BARBITURIC ACID	67-52-7
bra	BARIUM ACETATE	543-80-6
bcd	BARIUM CHLORIDE DIHYDRATE	10326-27-9
bmd	BEMITRADINE	88133-11-3
bzz	BENZALAZINE	64896-26-0
bnl	BENZALDEHYDE	100-52-7
ben	BENZENE	71-43-2
bzs	BENZENEDIAZONIUM SULFATE	6415-38-9
bdt	BENZENEDIAZONIUM TETRAFLUOROBORATE	369-57-3
bsh	BENZENESULPHONOHYDRAZIDE	5351-65-5
bzd	BENZIDINE	92-87-5
bzl	BENZIDINE.2HCl	531-85-1
bap	BENZO(a)PYRENE	50-32-8
sbz	"BENZOATE, SODIUM"	532-32-1
bnz	BENZOFURAN	271-89-6
bgn	BENZOGUANAMINE	91-76-9
bza	BENZOIC ACID	65-85-0
bez	BENZOIN	119-53-9
bzq	"1,4-BENZOQUINONE"	106-51-4
bds	BENZOTHIAZYL DISULFIDE	120-78-5
bzt	1H-BENZOTRIAZOLE	95-14-7
b3c	BENZOTRICHLORIDE	98-07-7
beh	BENZOYL HYDRAZINE	613-94-5
bna	BENZYL ACETATE	140-11-4
bal	BENZYL ALCOHOL	100-51-6
bzc	BENZYL CHLORIDE	100-44-7
bcp	o-BENZYL-p-CHLOROPHENOL	120-32-1
bly	BENZYL ISOTHIOCYANATE	622-78-6
bty	BENZYL THIOCYANATE	3012-37-1
blz	BENZYLHYDRAZINE.2HCl	20570-96-1
syd	3-BENZYLSYDNONE-4-ACETAMIDE	14504-15-5
brs	BERYLLIUM SULFATE	13510-49-1
2bu	2-BUTOXYETHANOL	111-76-2
bif	BIFENTHRIN	82657-04-3
bpl	BIPHENYL	92-52-4
ci9	"5,5'-(1,1'-BIPHENYL)-2,5-DIYLBIS(OXY)(2,2-DIMETHYLPENTANOIC ACID"	79520-77-7
bia	2-BIPHENYLAMINE.HCl	2185-92-4
dbg	"2,2-BIS(BROMOMETHYL)-1,3-PROPANEDIOL, TECHNICAL GRADE"	3296-90-0
bpt	"1,1-BIS(tert-BUTYLPEROXY)-3,3,5-TRIMETHYLCYCLOHEXANE"	6731-36-8
bso	"BIS(TRI-n-BUTYLTIN)OXIDE, TECHNICAL GRADE"	56-35-9
bme	"BIS(2-CHLORO-1-METHYLETHYL)ETHER, TECHNICAL GRADE"	108-60-1
cee	BIS-2-CHLOROETHYLETHER	111-44-4
bcb	"BIS-1,4-(CHLOROMETHOXY)BUTANE"	13483-19-7
bie	"BIS-1,2-(CHLOROMETHOXY)ETHANE"	13483-18-6
bch	"BIS-1,6-(CHLOROMETHOXY)HEXANE"	56894-92-9
bcx	"BIS-1,4-(CHLOROMETHOXY)-p-XYLENE"	56894-91-8
bce	BIS-(CHLOROMETHYL)ETHER	542-88-1
bdp	"BIS(2,3-DIBROMOPROPYL)PHOSPHATE, MAGNESIUM SALT"	36711-31-6
tob	"1,4-BIS[2-(3,5-DICHLOROPYRIDYLOXY)]BENZENE"	76150-91-9
bhq	4-BIS(2-HYDROXYETHYL)AMINO-2-(5-NITRO-2-THIENYL)QUINAZOLINE	33372-39-3
baq	4-BIS(2-HYDROXYETHYL)AMINO-2-(2-THIENYL)QUINAZOLINE	58139-47-2
edc	"BIS-2-HYDROXYETHYLDITHIOCARBAMIC ACID, POTASSIUM"	23746-34-1
bhp	BIS(2-HYDROXYPROPYL)AMINE	110-97-4
bdd	BISMUTH DIMETHYLDITHIOCARBAMATE	21260-46-8
bsm	BISMUTH OXYCHLORIDE	7787-59-9
bpa	BISPHENOL A	80-05-7
bpn	BLACK PN	2519-30-4
b38	C.I. DIRECT BLACK 38	1937-37-7
bl6	C.I. DIRECT BLUE 6	2602-46-2
b15	C.I. DIRECT BLUE 15	2429-74-5
b21	C.I. DIRECT BLUE 218	28407-37-6
cib	C.I. DISPERSE BLUE 1	2475-45-8
bbf	FD & C BLUE NO. 1	3844-45-9
ind	FD & C BLUE NO. 2	860-22-0
hb1	HC BLUE NO. 1	2784-94-3
b1p	HC BLUE NO. 1 (PURIFIED)	2784-94-3
hb2	HC BLUE NO. 2	33229-34-4
gbc	GARDENIA BLUE COLOR	526194-45-6
brc	BORIC ACID	10043-35-3
ptb	"BROMATE, POTASSIUM"	7758-01-2
bad	BROMOACETALDEHYDE	17157-48-1
bro	BROMOCRIPTINE MESYLATE	22260-51-1
bcm	BROMODICHLOROMETHANE	75-27-4
bre	BROMOETHANE	74-96-4
bet	BROMOETHANOL	540-51-2
b95	C.I. DIRECT BROWN 95	16071-86-6
bud	BUDESONIDE	51333-22-3
bde	"1,3-BUTADIENE"	106-99-0
ual	tert-BUTYL ALCOHOL	75-65-0
bbp	BUTYL BENZYL PHTHALATE	85-68-7
nbc	n-BUTYL CHLORIDE	109-69-3
sbd	"2-sec-BUTYL-4,6-DINITROPHENOL"	88-85-7
bfz	N-n-BUTYL-N-FORMYLHYDRAZINE	16120-70-0
bhb	BUTYL p-HYDROXYBENZOATE	94-26-8
nbh	N-BUTYL-N-(4-HYDROXYBUTYL)NITROSAMINE	3817-11-6
dhp	DI-tert-BUTYL-4-HYDROXYMETHYL PHENOL	88-26-6
tbm	2-tert-BUTYL-4-METHYLPHENOL	2409-55-4
nbn	N-BUTYL-N'-NITRO-N-NITROSOGUANIDINE	13010-08-7
bni	N-n-BUTYL-N-NITROSOUREA	869-01-2
bha	BUTYLATED HYDROXYANISOLE	25013-16-5
bht	BUTYLATED HYDROXYTOLUENE	128-37-0
dby	"1,1-DI-n-BUTYLHYDRAZINE"	7422-80-2
bhz	n-BUTYLHYDRAZINE.HCl	56795-65-4
dbh	"1,2-DI-n-BUTYLHYDRAZINE.2HCl"	78776-28-0
tbq	tert-BUTYLHYDROQUINONE	1948-33-0
ttb	"2,4,6-TRI-tert-BUTYLPHENOL"	732-26-3
typ	p-tert-BUTYLPHENOL	98-54-4
buu	N-BUTYLUREA	592-31-4
brl	beta-BUTYROLACTONE	3068-88-0
gbr	gamma-BUTYROLACTONE	96-48-0
cad	CADMIUM ACETATE	543-90-8
cdl	CADMIUM CHLORIDE	10108-64-2
cdc	CADMIUM CHLORIDE MONOHYDRATE	35658-65-2
cdd	CADMIUM DIETHYLDITHIOCARBAMATE	14239-68-0
cds	CADMIUM SULPHATE (1:1)	10124-36-4
csp	CADMIUM SULPHATE (1:1) HYDRATE (3:8)	7790-84-3
cfa	CAFFEIC ACID	331-39-5
caf	CAFFEINE	58-08-2
vit	CALCIFEROL	50-14-6
cat	CALCIUM ACETATE	62-54-4
clm	CALCIUM CHLORIDE	10043-52-4
cal	CALCIUM LACTATE	814-80-2
cav	CALCIUM VALPROATE	33433-82-8
foy	CAMOSTAT MESYLATE	59721-29-8
tcv	CANDESARTAN CILEXETIL	145040-37-5
cpl	CAPROLACTAM	105-60-2
cps	CAPSAICIN	404-86-4
cpt	CAPTAFOL	2425-06-1
cap	CAPTAN	133-06-2
cah	CARBAMYL HYDRAZINE.HCl	563-41-7
cph	1-CARBAMYL-2-PHENYLHYDRAZINE	103-03-7
cbs	CARBARSONE	121-59-5
car	CARBARYL	63-25-2
cbz	CARBAZOLE	86-74-8
frd	CARBOFURAN	1563-66-2
cc4	CARBON TETRACHLORIDE	56-23-5
cab	CARBOXYMETHYLNITROSOUREA	60391-92-6
bau	CARBROMAL	77-65-6
bca	beta-CAROTENE	7235-40-7
dcg	"CARRAGEENAN, ACID-DEGRADED"	53973-98-1
cgn	"CARRAGEENAN, NATIVE"	9000-07-1
dca	D-CARVONE	2244-16-8
gtc	"CATECHINS, COMMERCIAL MIXTURE FROM GREEN TEA (91% CATECHINS)"	136511-29-0
cth	CATECHOL	120-80-9
ccx	CELECOXIB	169590-42-5
cll	CELIPROLOL	56980-93-9
cvh	CEVIMELINE.HCl	153504-70-2
cca	CHENODEOXYCHOLIC ACID	474-25-9
clh	CHLORAL HYDRATE	302-17-0
cam	CHLORAMBEN	133-90-4
cmb	CHLORAMBUCIL	305-03-3
clw	CHLORAMINATED WATER	---
clp	CHLORAMPHENICOL	56-75-7
crn	CHLORANIL	118-75-2
chd	"CHLORDANE, TECHNICAL GRADE"	57-74-9
cnc	CHLORENDIC ACID	115-28-6
c60	"CHLORINATED PARAFFINS (C12, 60% CHLORINE)"	63449-39-8
c43	"CHLORINATED PARAFFINS (C23, 43% CHLORINE)"	63449-39-8
ctp	CHLORINATED TRISODIUM PHOSPHATE	56802-99-4
chw	CHLORINATED WATER	---
chn	CHLORINE	7782-50-5
cda	CHLORMADINONE ACETATE	302-22-7
cae	4-CHLORO-4'-AMINODIPHENYLETHER	101-79-1
cdh	3-CHLORO-4-(DICHLOROMETHYL)-5-HYDROXY-2(5H)-FURANONE	77439-76-0
cpb	"2-CHLORO-5-(3,5-DIMETHYLPIPERIDINOSULPHONYL)BENZOIC ACID"	37087-94-8
cdb	"1-CHLORO-2,4-DINITROBENZENE"	97-00-7
c2m	3-CHLORO-2-METHYLPROPENE	563-47-3
cmp	"3-CHLORO-2-METHYLPROPENE, TECHNICAL GRADE (CONTAINING 5% DIMETHYLVINYL CHLORIDE)"	563-47-3
c2n	1-CHLORO-2-NITROBENZENE	88-73-3
c4n	1-CHLORO-4-NITROBENZENE	100-00-5
cmd	4-CHLORO-m-PHENYLENEDIAMINE	5131-60-2
cpd	4-CHLORO-o-PHENYLENEDIAMINE	95-83-0
2cd	2-CHLORO-p-PHENYLENEDIAMINE SULFATE	61702-44-1
cht	"1-CHLORO-2-PROPANOL, TECHNICAL GRADE (~75% 1-chloro-2-propanol; ~25% 2-chloro-1-propanol)"	127-00-4
ct3	3-CHLORO-p-TOLUIDINE	95-74-9
5ct	5-CHLORO-o-TOLUIDINE	95-79-4
ctl	4-CHLORO-o-TOLUIDINE.HCl	3165-93-3
f3a	"2-CHLORO-1,1,1-TRIFLUOROETHANE"	75-88-7
cxb	"[4-CHLORO-6-(2,3-XYLIDINO)-2-PYRIMIDINYLTHIO]ACETIC ACID"	50892-23-4
cxp	"4-CHLORO-6-(2,3-XYLIDINO)-2-PYRIMIDINYLTHIO(N-beta-HYDROXYETHYL)ACETAMIDE"	65089-17-0
cla	CHLOROACETALDEHYDE	107-20-0
tcp	2-CHLOROACETOPHENONE	532-27-4
caa	4'-(CHLOROACETYL)-ACETANILIDE	140-49-8
cnl	p-CHLOROANILINE	106-47-8
pah	p-CHLOROANILINE.HCl	20265-96-7
cst	o-CHLOROBENZALMALONONITRILE	2698-41-1
cbe	CHLOROBENZENE	108-90-7
chb	CHLOROBENZILATE	510-15-6
cdm	CHLORODIBROMOMETHANE	124-48-1
cdf	CHLORODIFLUOROMETHANE	75-45-6
cle	CHLOROETHANE	75-00-3
ccc	(2-CHLOROETHYL)TRIMETHYLAMMONIUM CHLORIDE	999-81-5
cnu	1-CHLOROETHYLNITROSO-3-(2-HYDROXYPROPYL)UREA	---
fc3	CHLOROFLUOROMETHANE	593-70-4
chf	CHLOROFORM	67-66-3
cme	CHLOROMETHYL METHYL ETHER	107-30-2
2mp	2-(CHLOROMETHYL)PYRIDINE.HCl	6959-47-3
3mp	3-(CHLOROMETHYL)PYRIDINE.HCl	6959-48-4
ccs	p-CHLOROPHENYL-p-CHLOROBENZENE SULFONATE	80-33-1
cdu	"3-(p-CHLOROPHENYL)-1,1-DIMETHYLUREA"	150-68-5
cpi	"(+-)-(4)-(2-CHLOROPHENYL)-2-[2-(4-ISOBUTYLPHENYL)ETHYL]-6,9-DIMETHYL-6H-THIENO[3,2-f][1,2,4]TRIAZOLO[4,3-a][1,4]DIAZEPINE"	117279-73-9
cpp	1-(4-CHLOROPHENYL)-1-PHENYL-2-PROPYNYL CARBAMATE	10473-70-8
tet	"p-CHLOROPHENYL-2,4,5-TRICHLOROPHENYL SULFIDE"	2227-13-6
cpc	CHLOROPICRIN	76-06-2
clr	CHLOROPRENE (>96% CHLOROPRENE)	126-99-8
cl2	CHLOROPRENE (99.6% CHLOROPRENE)	126-99-8
cpo	2-CHLOROPROPANAL	683-50-1
chp	1-CHLOROPROPENE	590-21-6
f2a	CHLOROTETRAFLUOROETHANE	2837-89-0
dac	CHLOROTHALONIL	1897-45-6
chl	CHLOROZOTOCIN	54749-90-5
cpm	CHLORPHENIRAMINE MALEATE	113-92-8
cpa	CHLORPROPAMIDE	94-20-2
cbf	CHOCOLATE BROWN FB	12236-46-3
cbh	CHOCOLATE BROWN HT	4553-89-3
ccl	CHOLINE CHLORIDE	67-48-1
cmc	CHROMIC OXIDE PIGMENT	1308-38-9
cra	CHROMIUM (III) ACETATE	1066-30-4
chy	CHRYSAZIN	117-10-2
cmt	CIMETIDINE	51481-61-9
cnm	trans-CINNAMALDEHYDE	14371-10-9
cna	CINNAMYL ANTHRANILATE	87-29-6
cpf	CIPROFIBRATE	52214-84-3
ctr	CITRAL	5392-40-5
cit	CITRIC ACID	77-92-9
ctn	CITRININ	518-75-2
cli	CLIVORINE	33979-15-6
clo	CLOBUZARIT	22494-47-9
cfb	CLOFIBRATE	637-07-0
clc	CLOMIPHENE CITRATE	43054-45-1
nic	CLONITRALID	1420-04-8
ca3	CLOPHEN A 30	55600-34-5
csh	COBALT SULFATE HEPTAHYDRATE	10026-24-1
cod	CODEINE	76-57-3
ccm	COLCEMID	477-30-5
c58	COMPOUND 50-892	65765-07-3
cly	COMPOUND LY171883	88107-10-2
cdt	COPPER DIMETHYLDITHIOCARBAMATE	137-29-1
chq	COPPER-8-HYDROXYQUINOLINE	10380-28-6
cum	COUMAPHOS	56-72-4
bzo	COUMARIN	91-64-5
cre	m-CRESIDINE	102-50-1
pcr	p-CRESIDINE	120-71-8
cta	CROTONALDEHYDE	123-73-9
cup	CUPFERRON	135-20-6
cci	"CYANAMIDE, CALCIUM"	156-62-7
cyz	CYANAZINE	21725-46-2
cyg	CYANOGUANIDINE	157480-33-6
mtc	CYCASIN AND METHYLAZOXYMETHANOL ACETATE	mixture
scy	"CYCLAMATE, SODIUM"	139-05-9
cct	CYCLOCHLOROTINE	12663-46-6
ccy	CYCLOCYTIDINE	31698-14-3
cdx	beta-CYCLODEXTRIN	7585-39-9
cyc	CYCLOHEXANONE	108-94-1
chs	N-CYCLOHEXYL-2-BENZOTHIAZOLE SULFENAMIDE	95-33-0
cyh	CYCLOHEXYLAMINE.HCl	4998-76-9
cas	CYCLOHEXYLAMINE SULFATE	19834-02-7
cyo	CYCLOPENTANONE OXIME	1192-28-5
rp7	"3-(CYCLOPENTYLOXY)-N-(3,5-DICHLORO-4-PYRIDYL)-4-METHOXYBENZAMIDE"	144035-83-6
cyp	CYCLOPHOSPHAMIDE	50-18-0
csa	CYCLOSPORIN A	59865-13-3
cya	CYPROTERONE ACETATE	427-51-0
lcm	l-CYSTEINE.HCl	52-89-1
ctb	CYTEMBENA	16170-75-5
dic	DACARBAZINE	4342-03-4
dsa	DAMINOZIDE	1596-84-5
dap	DAPSONE	80-08-0
opd	"o,p'-DDD"	53-19-0
pdd	"p,p'-DDD"	72-54-8
pde	"p,p'-DDE"	72-55-9
ddt	DDT	50-29-3
dco	DECABROMODIPHENYL OXIDE	1163-19-5
dox	"DECABROMODIPHENYL OXIDE, TECHNICAL GRADE (77.4% DBDPO, 21.8% NONABROMODIPHENYL OXIDE, 0.8% OCTABROMODIPHENYL OXIDE)"	1163-19-5
def	DEFLAZACORT	14484-47-0
ess	DEHYDROEPIANDROSTERONE	53-43-0
esa	DEHYDROEPIANDROSTERONE ACETATE	853-23-6
dds	DEHYDROEPIANDROSTERONE SULFATE	651-48-9
dtm	DELTAMETHRIN	52918-63-5
don	DEOXYNIVALENOL	51481-10-8
drp	DESERPIDINE	131-01-1
dex	DEXAMETHAZONE	50-02-2
dxn	DEXTRAN	9004-54-0
dss	DEXTRAN SULFATE SODIUM (DS-M-1)	9011-18-1
dsd	DEXTRAN SULFATE SODIUM (DST-H)	9011-18-1
dsk	DEXTRAN SULFATE SODIUM (KMDS-H)	9011-18-1
fld	N-1-DIACETAMIDOFLUORENE	63019-65-8
dah	DIACETYL HYDRAZINE	3148-73-0
dia	DIALLATE	2303-16-4
dlp	DIALLYL PHTHALATE	131-17-9
1dh	"1,1-DIALLYLHYDRAZINE"	5164-11-4
alh	"1,2-DIALLYLHYDRAZINE.2HCl"	26072-78-6
dly	DIALLYLNITROSAMINE	16338-97-9
dft	"4,6-DIAMINO-2-(5-NITRO-2-FURYL)-s-TRIAZINE"	720-69-4
dst	"4,4'-DIAMINO-2,2'-STILBENEDISULFONIC ACID, DISODIUM SALT"	7336-20-1
dan	"2,4-DIAMINOANISOLE SULFATE"	39156-41-7
4zb	"4,4'-DIAMINOAZOBENZENE"	538-41-0
4db	"4,4'-DIAMINOBENZANILIDE"	785-30-8
dam	"2,4-DIAMINOPHENOL.2HCl"	137-09-7
tod	"2,4-DIAMINOTOLUENE"	95-80-7
tlu	"2,4-DIAMINOTOLUENE.2HCl"	636-23-7
td2	"2,6-DIAMINOTOLUENE.2HCl"	15481-70-6
tds	"2,5-DIAMINOTOLUENE SULFATE"	6369-59-1
dzp	DIAZEPAM	439-14-5
daz	DIAZINON	333-41-5
3dt	3-DIAZOTYRAMINE.HCl	---
dba	"DIBENZ(a,h)ANTHRACENE"	53-70-3
udd	DIBENZO-p-DIOXIN	262-12-4
bfa	3-DIBENZOFURANAMINE	4106-66-5
osd	"O,S-DIBENZOYL THIAMINE.HCl"	35660-60-7
dbp	"1,2-DIBROMO-3-CHLOROPROPANE"	96-12-8
dbd	DIBROMODULCITOL	10318-26-0
dbe	"1,2-DIBROMOETHANE"	106-93-4
dbm	DIBROMOMANNITOL	488-41-5
5dq	"5,7-DIBROMOQUINOLINE"	34522-69-5
dbu	"1,3-DIBUTYL-1-NITROSOUREA"	56654-52-5
dbt	DIBUTYLTIN DIACETATE	1067-33-0
ddp	"3,5-DICHLORO(N-1,1-DIMETHYL-2-PROPYNYL)BENZAMIDE"	23950-58-5
dcx	"2,3-DICHLORO-p-DIOXANE"	3883-43-0
cfc	"1,1-DICHLORO-1-FLUOROETHANE"	1717-00-6
dfa	"alpha,beta-DICHLORO-beta-FORMYLACRYLIC ACID"	87-56-9
cma	"3,4'-DICHLORO-2-METHYLACRYLANILIDE"	2164-09-2
dnq	"2,3-DICHLORO-1,4-NAPHTHOQUINONE"	117-80-6
dcn	"2,6-DICHLORO-4-NITROANILINE"	99-30-9
2dp	"2,6-DICHLORO-p-PHENYLENEDIAMINE"	609-20-1
2ca	DICHLOROACETIC ACID	79-43-6
dch	DICHLOROACETYLENE	7572-29-4
2cb	"1,2-DICHLOROBENZENE"	95-50-1
4cb	"1,4-DICHLOROBENZENE"	106-46-7
dcb	"3,3'-DICHLOROBENZIDINE"	91-94-1
db2	"3,3'-DICHLOROBENZIDINE.2HCl"	612-83-9
cb2	"1,4-DICHLOROBUTENE-2 (65% trans-, 35% cis-)"	764-41-0
tdb	"trans-1,4-DICHLOROBUTENE-2"	110-57-6
dcd	"2,7-DICHLORODIBENZO-p-DIOXIN"	33857-26-0
dc2	DICHLORODIFLUOROMETHANE	75-71-8
dsl	"p,p'-DICHLORODIPHENYL SULFONE"	80-07-9
dce	"1,1-DICHLOROETHANE"	75-34-3
2dc	"1,2-DICHLOROETHANE"	107-06-2
dpl	"2,4-DICHLOROPHENOL"	120-83-2
dcp	"alpha-(2,4-DICHLOROPHENOXY)PROPIONIC ACID"	120-36-5
app	"alpha-(2,5-DICHLOROPHENOXY)PROPIONIC ACID"	6965-71-5
dip	"2,4-DICHLOROPHENOXYACETIC ACID"	94-75-7
dpb	"2,4-DICHLOROPHENOXYACETIC ACID, n-BUTYL ESTER"	94-80-4
dae	"2,4-DICHLOROPHENOXYACETIC ACID, ISOOCTYL ESTER"	25168-26-7
dai	"2,4-DICHLOROPHENOXYACETIC ACID, ISOPROPYL ESTER"	94-11-1
ddm	"3-(3,4-DICHLOROPHENYL)-1,1-DIMETHYLUREA"	330-54-1
dbs	"2,4-DICHLOROPHENYLBENZENE SULFONATE"	97-16-5
2cp	"1,2-DICHLOROPROPANE"	78-87-5
dcv	DICHLORVOS	62-73-7
sod	"DICHROMATE, SODIUM"	10588-01-9
dcf	DICOFOL	115-32-2
dcu	"N,N'-DICYCLOHEXYLTHIOUREA"	1212-29-9
dpd	DICYCLOPENTADIENE DIOXIDE	81-21-0
die	DIELDRIN	60-57-1
ptd	"DIELDRIN, PHOTO-"	13366-73-9
deb	dl-DIEPOXYBUTANE	298-18-0
dep	"DIETHYL-beta,gamma-EPOXYPROPYLPHOSPHONATE"	7316-37-2
deo	"N,N-DIETHYL-4-(4'-[PYRIDYL-1'-OXIDE]AZO)ANILINE"	7347-49-1
det	"N,N-DIETHYL-m-TOLUAMIDE"	134-62-3
crf	"O,O-DIETHYL-O-(3,5,6-TRICHLORO-2-PYRIDYL)PHOSPHOROTHIOATE"	2921-88-2
